class nfd::cs::lru::NfdAutoLruPolicyCsPolicyRegistrationClass,0
class nfd::cs::Cs,5
class nfd::name_tree::Hash64,0
class nfd::rib::RibUpdateBatch,5
class nfd::Channel-class nfd::TcpChannel,5
class nfd::Channel-class nfd::UdpChannel,5
class nfd::Channel-class nfd::UnixStreamChannel,5
class nfd::Channel-end,15
class nfd::scheduler::ScopedEventId,19
class nfd::DeadNonceList,10
class nfd::PrivilegeHelper::Error,0
class nfd::StrategyInfoHost-class nfd::measurements::Entry,5
class nfd::StrategyInfoHost-class nfd::pit::Entry,27
class nfd::StrategyInfoHost-class nfd::pit::FaceRecord-class nfd::pit::InRecord,6
class nfd::StrategyInfoHost-class nfd::pit::FaceRecord-class nfd::pit::OutRecord,10
class nfd::StrategyInfoHost-class nfd::pit::FaceRecord-end,16
class nfd::StrategyInfoHost-end,48
class nfd::fw::UnsolicitedDataPolicy-class nfd::fw::AdmitLocalUnsolicitedDataPolicy,8
class nfd::fw::UnsolicitedDataPolicy-class nfd::fw::AdmitNetworkUnsolicitedDataPolicy,8
class nfd::fw::UnsolicitedDataPolicy-class nfd::fw::DropAllUnsolicitedDataPolicy,5
class nfd::fw::UnsolicitedDataPolicy-class nfd::fw::AdmitAllUnsolicitedDataPolicy,5
class nfd::fw::UnsolicitedDataPolicy-end,26
class nfd::face::FaceCounters,0
class nfd::fw::NfdAutoAdmitNetworkUnsolicitedDataPolicyUnsolicitedDataPolicyRegistrationClass,0
class nfd::SimpleCounter-class nfd::PacketCounter,6
class nfd::SimpleCounter-class nfd::ByteCounter,6
class nfd::SimpleCounter-end,12
class nfd::rib::Service::Error,0
class nfd::tools::nfdc::StatusReport,41
class nfd::name_tree::NameTree,5
class nfd::strategy_choice::Entry,15
class nfd::fw::NfdAutoAdmitLocalUnsolicitedDataPolicyUnsolicitedDataPolicyRegistrationClass,0
class nfd::face::LpReassembler,15
class nfd::ManagerBase-class nfd::NfdManagerBase-class nfd::StrategyChoiceManager,44
class nfd::ManagerBase-class nfd::NfdManagerBase-class nfd::FaceManager,412
class nfd::ManagerBase-class nfd::NfdManagerBase-class nfd::FibManager,100
class nfd::ManagerBase-class nfd::NfdManagerBase-end,556
class nfd::ManagerBase-end,556
class nfd::tools::nfdc::CommandArguments,0
class nfd::NetworkInterfaceInfo,26
class nfd::LoggerFactory,5
class nfd::face::UnicastUdpTransport,32
class nfd::ConfigFile,102
class nfd::rib::Route,9
class nfd::face::FaceSystem,77
class nfd::face::ProtocolFactory::Error,0
class nfd::tools::nfdc::NfdIdCollector,39
class nfd::rib::FibUpdater,648
class nfd::name_tree::EnumerationImpl-class nfd::name_tree::PrefixMatchImpl,25
class nfd::name_tree::EnumerationImpl-class nfd::name_tree::PartialEnumerationImpl,63
class nfd::name_tree::EnumerationImpl-class nfd::name_tree::FullEnumerationImpl,43
class nfd::name_tree::EnumerationImpl-end,131
class nfd::fw::NfdAutoAdmitAllUnsolicitedDataPolicyUnsolicitedDataPolicyRegistrationClass,0
class nfd::NetworkInterfacePredicate,28
class nfd::fw::NfdAutoBestRouteStrategy2StrategyRegistrationClass,0
class ndn::tools::autoconfig::Base::Error,0
class nfd::Nfd,124
class ndn::tools::autoconfig::HttpException,0
class nfd::tools::nfdc::LegacyNfdc,223
class nfd::Logger,0
class nfd::fib::NextHop,0
class ndn::tools::autoconfig::BaseDns::Error,0
class nfd::fw::NfdAutoNccStrategyStrategyRegistrationClass,0
class ndn::NdnAutoconfigServer,0
class nfd::face::LinkServiceCounters-class nfd::face::LinkService-class nfd::face::GenericLinkService,15
class nfd::face::LinkServiceCounters-class nfd::face::LinkService-end,15
class nfd::face::LinkServiceCounters-end,15
class nfd::face::FaceSystem::ConfigContext,0
class nfd::fw::asf::AsfMeasurements,54
class nfd::face::NfdAutoUdpFactoryProtocolFactoryRegistrationClass,0
class nfd::tools::nfdc::CommandParser,62
class nfd::measurements::AnyEntry,0
class ndn::tools::autoconfig::Url,0
class nfd::Forwarder,492
class nfd::strategy_choice::StrategyChoice,5
class nfd::face::LpFragmenter::Options,0
class nfd::rib::AutoPrefixPropagator::Error,0
class nfd::face::GenericLinkService::Options,0
class ndn::PrefixCollection,0
class nfd::fib::Entry,5
class nfd::NetworkRegionTable,5
class ndn::nfd_autoreg::AutoregServer,0
class ndn::tools::autoconfig::NdnAutoconfig,0
class nfd::fw::NfdAutoBestRouteStrategyStrategyRegistrationClass,0
class nfd::measurements::Measurements,15
class nfd::cs::Policy-class nfd::cs::lru::LruPolicy,45
class nfd::cs::Policy-class nfd::cs::priority_fifo::PriorityFifoPolicy,106
class nfd::cs::Policy-end,151
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::ForwarderGeneralModule,90
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::StrategyChoiceModule,45
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::FibModule,63
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::FaceModule,112
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::ChannelModule,43
class nfd::tools::nfdc::Module-class nfd::tools::nfdc::RibModule,93
class nfd::tools::nfdc::Module-end,446
class nfd::measurements::MeasurementsAccessor,52
class nfd::ConfigFile::Error,0
class nfd::FaceTable,5
class nfd::fw::RetxSuppression-class nfd::fw::RetxSuppressionExponential,24
class nfd::fw::RetxSuppression-class nfd::fw::RetxSuppressionFixed,15
class nfd::fw::RetxSuppression-end,39
class nfd::fw::NfdAutoAccessStrategyStrategyRegistrationClass,0
class nfd::rib::Service,86
class nfd::rib::RibManager::Error,0
class nfd::LoggerFactory::Error,0
class nfd::name_tree::HashtableOptions,0
class nfd::fw::NfdAutoMulticastStrategyStrategyRegistrationClass,0
class nfd::fw::StrategyInfo-class nfd::fw::AccessStrategy::MtInfo,0
class nfd::fw::StrategyInfo-class nfd::fw::asf::NamespaceInfo,48
class nfd::fw::StrategyInfo-class nfd::fw::NccStrategy::PitEntryInfo,0
class nfd::fw::StrategyInfo-class nfd::fw::NccStrategy::MeasurementsEntryInfo,49
class nfd::fw::StrategyInfo-class nfd::fw::AccessStrategy::PitInfo,0
class nfd::fw::StrategyInfo-class nfd::fw::RetxSuppressionExponential::PitInfo,0
class nfd::fw::StrategyInfo-end,97
class nfd::RttEstimator,34
class nfd::face::TransportCounters-class nfd::face::Transport,86
class nfd::face::TransportCounters-end,86
class nfd::name_tree::Entry,22
class nfd::face::UnixStreamTransport,0
class nfd::face::InternalTransportBase-class nfd::face::InternalClientTransport,41
class nfd::face::InternalTransportBase-class nfd::face::InternalForwarderTransport,23
class nfd::face::InternalTransportBase-end,64
class ndn::tools::autoconfig::NdnAutoconfig::Error,0
class nfd::rib::FibUpdate,23
class nfd::face::Transport::Packet,0
class nfd::CommandAuthenticator,183
